100 2 100 91 31.56
# demands
21 30 28 38 31 21 25 28 27 20 29 17 25 30 26 23 20 22 27 26 26 30 29 18 17 31 23 30 29 49 19 27 40 19 22 33 39 17 38 25 50 33 29 22 26 29 32 34 30 28 26 20 23 21 21 28 45 29 38 23 23 39 30 41 20 30 25 23 21 34 24 27 25 19 29 19 23 24 21 32 24 32 33 18 41 27 20 39 32 38 40 45 22 27 34 22 20 35 22 19
# request locations
50 50
43 85
12 63
59 76
95 74
1 51
28 94
44 71
58 28
98 11
84 79
64 91
48 14
3 18
68 43
18 58
23 93
58 62
30 88
21 18
74 84
65 27
53 67
53 50
68 33
27 30
66 99
84 56
89 28
79 14
82 7
35 78
68 0
16 39
3 15
11 88
32 64
72 12
79 40
42 21
86 3
56 47
93 78
18 76
93 32
63 98
57 98
13 11
58 76
56 43
70 90
92 56
70 34
1 96
46 51
46 83
35 97
14 52
10 11
43 12
45 76
61 7
56 98
85 9
95 65
2 64
13 83
89 29
89 6
12 82
34 55
82 50
11 67
35 46
99 7
54 91
70 7
23 70
72 40
52 94
21 40
19 28
95 88
76 3
15 83
91 80
60 6
61 11
61 68
91 24
13 98
33 97
37 75
60 64
64 16
61 18
14 76
60 95
36 83
90 17
16 24
13 31
40 64
60 9
56 17
18 90
23 4
45 5
17 95
35 22
62 28
26 25
34 92
42 58
94 80
88 60
3 38
47 50
69 19
12 73
76 19
18 20
51 73
49 77
69 98
14 90
46 39
41 50
13 86
30 9
76 27
46 13
15 11
82 3
97 13
61 56
54 58
95 25
74 99
73 12
44 36
9 99
72 50
67 78
19 2
48 20
71 14
28 8
67 85
40 57
94 16
15 63
56 5
54 66
86 63
53 42
5 62
39 15
88 64
39 94
59 21
18 27
40 91
15 23
8 70
40 83
83 25
57 90
6 65
0 89
94 83
7 83
30 66
85 63
26 83
56 82
30 66
88 67
60 63
58 28
28 75
41 94
20 68
46 71
86 20
46 30
75 31
67 22
20 65
24 50
21 46
48 12
17 57
88 46
25 11
95 47
0 5
62 14
0 54
19 20
22 90
