100 2 100 89 56.48
# demands
22 36 31 34 23 28 45 30 42 23 25 29 20 20 19 21 30 27 25 31 22 24 21 30 17 23 25 20 37 25 28 26 39 33 38 42 21 34 18 37 27 40 43 20 31 23 36 50 22 46 26 28 43 28 49 30 46 19 22 50 26 26 26 32 27 18 27 49 36 24 23 24 32 40 31 19 44 28 26 20 35 23 26 47 39 25 40 20 29 24 31 48 20 36 23 30 30 24 32 35
# request locations
50 50
58 87
57 18
30 17
90 80
37 71
13 66
32 14
65 85
73 53
44 98
78 64
56 11
31 57
41 16
17 79
29 56
29 91
25 8
80 10
6 15
3 66
8 85
79 47
43 13
41 47
79 49
69 2
37 98
75 38
68 1
96 61
6 55
47 0
1 57
73 80
47 50
25 64
38 96
75 62
88 37
73 32
39 45
47 41
45 51
10 54
82 92
17 89
84 84
90 82
17 91
37 24
33 79
89 16
16 83
2 18
36 56
84 91
46 83
99 83
18 87
88 21
15 37
45 80
17 9
58 8
13 48
64 52
14 21
55 23
11 60
45 59
71 42
73 100
68 99
47 63
21 65
27 8
26 87
94 90
22 19
83 44
60 24
58 57
17 3
72 80
53 59
33 14
42 29
20 3
4 46
68 60
30 27
9 24
78 38
38 93
19 100
20 16
35 91
94 64
54 62
97 2
52 15
82 51
44 83
69 25
2 2
51 24
71 95
10 52
55 20
90 88
51 88
45 17
59 92
2 15
16 72
90 87
97 48
72 97
90 53
96 15
16 78
57 44
26 72
4 23
71 67
66 20
28 12
37 27
66 84
45 30
72 56
45 1
40 18
33 45
67 44
79 51
21 84
13 75
96 6
15 78
62 13
16 87
10 47
6 26
94 2
41 37
60 11
66 84
34 83
29 43
17 66
56 32
51 17
7 87
55 69
39 88
94 34
73 78
21 34
70 22
83 28
64 33
51 29
34 16
51 64
51 44
88 51
44 2
62 60
98 6
47 50
60 89
82 26
86 65
91 22
81 50
48 21
64 19
54 28
39 97
12 51
77 41
94 53
71 37
45 100
24 82
69 90
32 93
45 57
2 69
95 47
45 96
62 1
75 32
48 93
52 41
99 13
30 89
11 80
