200 4 100 172 376.06
# demands
26 23 30 35 27 31 21 33 22 25 37 23 24 24 32 38 21 19 24 24 26 21 19 38 31 22 26 22 28 17 22 19 21 21 33 25 21 36 28 26 28 22 24 24 19 22 23 31 31 25 21 27 23 42 32 36 29 31 18 36 22 22 20 33 24 33 36 20 26 39 22 25 33 29 17 17 26 47 22 27 22 26 42 22 24 32 32 34 30 28 27 41 27 22 24 34 29 20 27 31 28 31 27 28 22 29 26 31 25 26 37 20 48 29 37 24 40 18 22 38 32 41 35 35 24 29 27 23 44 26 29 22 26 27 28 18 33 31 28 27 22 21 34 26 40 35 23 36 22 26 26 31 20 50 29 40 20 21 26 37 23 27 37 34 23 24 23 32 26 39 21 19 21 22 20 28 24 27 30 19 28 23 22 24 23 29 25 30 22 23 25 34 33 23 28 32 28 32 25 28
# request locations
71 71
109 68
136 74
80 107
119 101
110 5
41 120
8 71
22 51
82 110
56 46
135 74
76 98
40 34
132 97
31 88
24 50
136 105
110 139
88 133
73 1
56 40
5 82
46 65
76 24
11 118
94 16
1 91
42 108
95 37
97 75
27 65
2 107
98 141
139 127
141 35
36 87
6 66
19 17
62 29
119 82
105 72
35 102
17 135
124 31
52 53
121 64
26 51
100 46
59 3
77 109
98 18
20 25
14 88
83 126
125 27
7 105
87 126
133 65
27 72
27 141
43 79
105 67
124 84
74 98
119 101
29 53
41 17
138 15
13 89
15 128
11 59
20 96
74 96
46 44
111 34
118 128
60 44
2 108
115 70
99 16
6 12
96 12
118 2
29 57
53 31
10 59
23 135
60 100
32 3
14 64
38 67
86 63
128 45
35 32
89 68
80 117
140 33
128 51
20 99
140 65
69 79
123 121
88 33
78 19
84 50
124 42
13 87
109 60
139 111
141 102
8 64
26 46
55 37
131 23
64 13
56 11
103 71
96 23
116 105
130 49
141 18
115 119
102 52
74 57
32 19
57 35
18 74
53 124
106 87
14 50
39 126
106 84
94 74
46 120
114 72
51 112
67 77
110 70
53 109
40 23
9 43
55 87
77 83
84 24
84 101
99 119
36 89
22 35
102 78
57 1
98 9
4 51
137 79
36 16
36 100
125 74
17 88
128 44
27 34
79 42
58 31
85 17
43 87
63 134
126 54
35 121
115 47
5 141
110 60
79 52
12 18
19 74
48 134
43 56
10 92
118 137
67 62
95 77
102 87
59 65
116 109
95 75
45 81
80 30
78 19
71 46
52 10
110 3
28 132
28 28
40 134
71 123
134 8
15 55
60 93
98 75
107 116
115 9
74 72
65 69
11 90
128 120
35 37
87 115
89 91
121 135
68 51
59 76
18 2
30 120
124 55
43 55
10 127
96 89
57 43
135 102
94 22
56 28
41 118
123 6
13 4
94 104
27 83
68 40
30 14
37 12
36 58
126 48
63 70
49 45
41 2
126 61
16 104
3 88
89 97
113 75
98 109
5 19
84 49
2 59
124 96
32 65
129 134
99 34
94 108
16 7
101 90
70 116
52 70
133 40
41 8
51 54
86 122
93 28
135 48
89 55
66 117
89 29
116 48
89 83
114 62
136 114
121 96
140 90
110 102
77 24
96 62
71 136
59 126
73 77
95 48
121 28
82 77
21 116
97 141
55 105
5 11
91 51
104 3
103 120
105 11
14 25
97 53
141 11
42 2
62 94
52 21
14 139
39 120
51 8
87 4
134 104
34 42
24 71
125 104
33 96
77 39
8 14
12 3
86 85
137 20
126 17
119 57
71 11
39 72
39 69
92 69
32 98
38 79
63 140
95 91
125 121
128 48
69 77
129 77
103 31
101 97
81 13
138 20
114 98
70 118
25 111
26 119
27 17
136 25
131 50
36 77
53 67
105 99
45 28
50 101
123 27
16 52
33 56
141 110
23 113
136 30
34 123
64 30
101 119
95 141
17 115
108 11
102 119
60 64
119 124
73 75
68 65
77 121
79 2
39 99
135 13
70 5
115 103
16 130
12 34
68 114
48 35
62 138
57 90
56 81
53 124
71 43
69 124
127 47
98 117
15 7
139 16
105 73
133 114
62 40
65 119
138 15
122 93
32 126
110 47
4 27
28 102
69 17
87 97
101 119
140 38
8 51
48 43
17 84
140 53
105 96
56 75
38 23
128 90
112 115
39 128
101 29
86 36
101 96
113 7
4 62
112 78
49 25
57 86
