50 2 100 44 22.19
# demands
21 30 28 38 31 21 25 28 27 20 29 17 25 30 26 23 20 22 27 26 26 30 29 18 17 31 23 30 29 49 19 27 40 19 22 33 39 17 38 25 50 33 29 22 26 29 32 34 30 28
# request locations
35 35
29 8
58 54
9 32
27 15
26 14
43 63
17 4
18 26
26 47
57 58
11 15
63 31
10 7
61 63
18 60
66 1
29 44
1 10
15 54
48 46
29 5
15 4
6 55
45 43
20 8
70 68
68 62
52 28
33 39
15 11
6 17
5 30
29 39
1 27
64 14
6 53
33 38
48 5
24 8
69 39
10 3
3 26
39 57
10 63
55 9
41 34
27 67
21 49
1 6
39 19
57 65
68 9
21 62
18 7
50 12
24 8
60 50
65 28
39 8
3 58
24 62
61 61
64 29
2 3
4 64
54 35
9 11
44 37
47 38
46 53
13 27
64 36
47 26
51 16
33 48
5 50
44 4
30 11
5 4
40 6
26 52
11 24
16 56
27 47
45 28
48 6
40 59
46 40
70 15
37 54
16 28
5 9
63 22
3 12
69 47
34 70
48 22
68 24
19 28
39 36
