50 2 100 44 56.48
# demands
28 30 26 23 17 27 28 19 25 33 45 39 27 36 41 17 32 24 25 18 18 23 23 22 41 36 26 20 32 46 34 29 19 24 36 34 26 18 28 50 49 26 21 28 35 19 25 37 25 20
# request locations
35 35
36 59
51 21
29 48
23 68
39 4
30 47
24 1
9 48
36 14
2 61
39 69
5 40
39 6
56 28
70 8
6 35
26 8
24 23
37 62
34 0
70 54
50 33
9 52
21 8
61 36
15 1
49 22
50 23
38 14
17 48
1 64
31 6
41 2
45 3
36 33
43 51
61 51
8 10
64 17
28 70
47 23
2 66
8 52
22 15
65 57
1 58
17 42
39 62
4 68
64 52
53 45
68 11
59 15
61 22
13 50
43 51
43 67
24 8
65 19
27 46
62 3
59 42
27 47
20 31
55 23
47 35
38 15
15 10
46 65
61 37
35 28
19 47
28 60
19 22
28 47
6 28
17 41
37 17
2 38
36 5
70 31
43 30
69 53
43 13
18 59
22 66
1 6
16 66
10 25
26 8
30 58
59 28
47 51
43 64
31 68
36 44
24 12
21 44
57 53
6 39
