instance_name,time_seconds,objective_value,jain_fairness,num_vehicles
instance9_nreq100_nveh2_gamma91,0.017929,386.001281,0.999973,2
instance26_nreq100_nveh2_gamma89,0.019062,348.432797,0.992623,2
instance14_nreq100_nveh2_gamma94,0.018690,443.494593,0.993797,2
instance4_nreq100_nveh2_gamma93,0.017924,274.427078,0.890454,2
instance12_nreq100_nveh2_gamma91,0.018022,394.784228,0.908190,2
instance22_nreq100_nveh2_gamma89,0.018951,479.254898,0.979005,2
instance11_nreq100_nveh2_gamma88,0.019403,495.008887,0.999800,2
instance18_nreq100_nveh2_gamma87,0.019089,472.076545,0.997832,2
instance10_nreq100_nveh2_gamma98,0.018452,346.364047,0.967730,2
instance28_nreq100_nveh2_gamma93,0.017905,301.079433,0.925227,2
instance5_nreq100_nveh2_gamma88,0.018183,396.460160,0.968000,2
instance30_nreq100_nveh2_gamma89,0.019510,460.093334,0.995184,2
instance13_nreq100_nveh2_gamma89,0.018159,379.060316,0.997493,2
instance24_nreq100_nveh2_gamma84,0.019244,459.765655,0.780072,2
instance20_nreq100_nveh2_gamma86,0.018005,343.985708,0.976681,2
instance2_nreq100_nveh2_gamma92,0.019110,480.201939,0.990900,2
instance21_nreq100_nveh2_gamma88,0.018116,491.088525,0.919294,2
instance23_nreq100_nveh2_gamma92,0.018419,458.199256,0.995728,2
instance16_nreq100_nveh2_gamma90,0.018409,438.010299,0.971388,2
instance17_nreq100_nveh2_gamma86,0.018889,526.546646,0.990321,2
instance19_nreq100_nveh2_gamma86,0.018143,432.254601,0.995817,2
instance3_nreq100_nveh2_gamma93,0.018443,320.164753,0.973138,2
instance15_nreq100_nveh2_gamma89,0.018849,397.703947,0.983765,2
instance7_nreq100_nveh2_gamma85,0.018688,324.490310,0.938059,2
instance8_nreq100_nveh2_gamma86,0.018631,377.639187,0.942060,2
instance27_nreq100_nveh2_gamma90,0.018615,484.359172,0.977667,2
instance25_nreq100_nveh2_gamma93,0.019503,423.430963,0.968585,2
instance29_nreq100_nveh2_gamma92,0.019196,496.210033,0.994760,2
instance6_nreq100_nveh2_gamma89,0.018871,349.296962,0.923921,2
instance1_nreq100_nveh2_gamma89,0.018259,412.414976,0.971022,2
