instance_name,time_seconds,objective_value,jain_fairness,num_vehicles
instance25_nreq2000_nveh40_gamma1783,1.307173,822661.077828,0.997512,40
instance9_nreq2000_nveh40_gamma1828,1.268503,844012.495831,0.996509,40
instance23_nreq2000_nveh40_gamma1888,1.276978,871615.648749,0.995549,40
instance1_nreq2000_nveh40_gamma1871,1.244868,860342.679871,0.995335,40
instance22_nreq2000_nveh40_gamma1890,1.255508,882222.832903,0.995366,40
instance3_nreq2000_nveh40_gamma1848,1.283445,860410.656660,0.995585,40
instance17_nreq2000_nveh40_gamma1822,1.258231,828378.074178,0.996791,40
instance14_nreq2000_nveh40_gamma1807,1.242630,834753.031901,0.997455,40
instance11_nreq2000_nveh40_gamma1799,1.235387,823110.048024,0.996829,40
instance19_nreq2000_nveh40_gamma1770,1.371746,814848.571787,0.995719,40
instance7_nreq2000_nveh40_gamma1889,1.456561,866695.683502,0.995354,40
instance4_nreq2000_nveh40_gamma1838,1.447153,841914.241418,0.995700,40
instance15_nreq2000_nveh40_gamma1754,1.243871,791145.779886,0.996283,40
instance29_nreq2000_nveh40_gamma1804,1.238223,838717.690048,0.995579,40
instance30_nreq2000_nveh40_gamma1875,1.242698,868282.091479,0.996837,40
instance12_nreq2000_nveh40_gamma1854,1.233145,853171.634611,0.996349,40
instance5_nreq2000_nveh40_gamma1726,1.223535,798546.712636,0.994544,40
instance13_nreq2000_nveh40_gamma1745,1.256079,800235.588211,0.996569,40
instance26_nreq2000_nveh40_gamma1756,1.288013,812875.399693,0.996667,40
instance20_nreq2000_nveh40_gamma1792,1.467136,828143.382399,0.996154,40
instance2_nreq2000_nveh40_gamma1768,1.241275,825719.699222,0.996617,40
instance21_nreq2000_nveh40_gamma1777,1.473479,827185.465933,0.997139,40
instance27_nreq2000_nveh40_gamma1870,1.496261,856673.467110,0.995378,40
instance16_nreq2000_nveh40_gamma1852,1.284601,862352.202702,0.995637,40
instance6_nreq2000_nveh40_gamma1663,1.158787,772182.307722,0.995407,40
instance18_nreq2000_nveh40_gamma1748,1.169944,801263.913598,0.996083,40
instance28_nreq2000_nveh40_gamma1833,1.165470,840851.600574,0.995892,40
instance8_nreq2000_nveh40_gamma1753,1.153073,801643.142551,0.994557,40
instance10_nreq2000_nveh40_gamma1784,1.167238,825976.653673,0.995058,40
instance24_nreq2000_nveh40_gamma1789,1.159354,830733.473853,0.995520,40
