instance_name,time_seconds,objective_value,jain_fairness,num_vehicles
instance2_nreq50_nveh2_gamma41,2.668753,1733.415000,0.500000,2
instance6_nreq50_nveh2_gamma43,2.776512,2090.845000,0.500000,2
instance5_nreq50_nveh2_gamma47,2.841756,2609.905000,0.500000,2
instance29_nreq50_nveh2_gamma45,2.798611,2306.440000,0.500000,2
instance26_nreq50_nveh2_gamma50,2.877856,2737.905000,0.500000,2
instance11_nreq50_nveh2_gamma45,2.740640,2026.440000,0.500000,2
instance18_nreq50_nveh2_gamma43,2.811503,1833.845000,0.500000,2
instance15_nreq50_nveh2_gamma48,3.006499,2437.680000,0.500000,2
instance4_nreq50_nveh2_gamma46,2.925474,1964.060000,0.500000,2
instance8_nreq50_nveh2_gamma45,3.002207,2189.450000,0.500000,2
instance17_nreq50_nveh2_gamma45,2.889627,2206.960000,0.500000,2
instance20_nreq50_nveh2_gamma44,2.859412,1879.865000,0.500000,2
instance9_nreq50_nveh2_gamma46,2.911231,2301.780000,0.500000,2
instance12_nreq50_nveh2_gamma46,3.050933,2174.865000,0.500000,2
instance1_nreq50_nveh2_gamma50,2.981058,2815.040000,0.500000,2
instance21_nreq50_nveh2_gamma44,2.970908,1979.720000,0.500000,2
instance19_nreq50_nveh2_gamma43,3.035758,1974.970000,0.500000,2
instance30_nreq50_nveh2_gamma42,2.982440,1802.960000,0.500000,2
instance23_nreq50_nveh2_gamma42,2.992928,1792.655000,0.500000,2
instance25_nreq50_nveh2_gamma45,3.317813,2187.905000,0.500000,2
instance27_nreq50_nveh2_gamma41,3.086748,1688.790000,0.500000,2
instance14_nreq50_nveh2_gamma45,3.222818,1958.430000,0.500000,2
instance28_nreq50_nveh2_gamma44,2.939840,2209.240000,0.500000,2
instance13_nreq50_nveh2_gamma47,3.000543,2265.165000,0.500000,2
instance7_nreq50_nveh2_gamma41,2.834121,1835.595000,0.500000,2
instance10_nreq50_nveh2_gamma48,2.966106,2400.430000,0.500000,2
instance24_nreq50_nveh2_gamma45,2.894634,2223.810000,0.500000,2
instance22_nreq50_nveh2_gamma43,2.888715,2022.620000,0.500000,2
instance16_nreq50_nveh2_gamma43,2.830216,1996.040000,0.500000,2
instance3_nreq50_nveh2_gamma49,2.912771,2233.310000,0.500000,2
