instance_name,time_seconds,objective_value,jain_fairness,num_vehicles
instance2_nreq50_nveh2_gamma41,0.000128,3062.901737,0.981533,2
instance6_nreq50_nveh2_gamma43,0.000074,3323.095735,0.996776,2
instance5_nreq50_nveh2_gamma47,0.000067,3797.594110,0.978637,2
instance29_nreq50_nveh2_gamma45,0.000062,3425.002419,0.999857,2
instance26_nreq50_nveh2_gamma50,0.000067,4039.646276,0.976761,2
instance11_nreq50_nveh2_gamma45,0.000068,3207.021678,0.998716,2
instance18_nreq50_nveh2_gamma43,0.000076,3075.360679,0.987852,2
instance15_nreq50_nveh2_gamma48,0.000083,3514.356852,0.945645,2
instance4_nreq50_nveh2_gamma46,0.000052,3283.550270,0.969632,2
instance8_nreq50_nveh2_gamma45,0.000073,3486.049207,0.999392,2
instance17_nreq50_nveh2_gamma45,0.000065,3357.367249,0.992643,2
instance20_nreq50_nveh2_gamma44,0.000072,2929.149677,0.975913,2
instance9_nreq50_nveh2_gamma46,0.000080,3773.464226,0.985291,2
instance12_nreq50_nveh2_gamma46,0.000114,3414.000803,0.999983,2
instance1_nreq50_nveh2_gamma50,0.000093,4316.007744,0.999807,2
instance21_nreq50_nveh2_gamma44,0.000077,3166.321630,0.990382,2
instance19_nreq50_nveh2_gamma43,0.000048,3141.186093,0.992826,2
instance30_nreq50_nveh2_gamma42,0.000078,3065.879221,0.962355,2
instance23_nreq50_nveh2_gamma42,0.000058,2914.423302,0.959691,2
instance25_nreq50_nveh2_gamma45,0.000052,3359.003748,0.999865,2
instance27_nreq50_nveh2_gamma41,0.000070,2529.102888,0.998213,2
instance14_nreq50_nveh2_gamma45,0.000078,3256.577656,0.974077,2
instance28_nreq50_nveh2_gamma44,0.000067,3522.487072,0.973671,2
instance13_nreq50_nveh2_gamma47,0.000057,3769.019722,0.999703,2
instance7_nreq50_nveh2_gamma41,0.000063,3078.387891,0.989570,2
instance10_nreq50_nveh2_gamma48,0.000074,3898.561050,0.990781,2
instance24_nreq50_nveh2_gamma45,0.000087,3391.722914,0.953719,2
instance22_nreq50_nveh2_gamma43,0.000068,3296.004413,0.999947,2
instance16_nreq50_nveh2_gamma43,0.000070,3282.768850,0.955867,2
instance3_nreq50_nveh2_gamma49,0.000087,3277.922971,0.913091,2
