instance_name,time_seconds,objective_value,jain_fairness,num_vehicles
instance2_nreq50_nveh2_gamma41,0.052140,2922.415000,0.500000,2
instance6_nreq50_nveh2_gamma43,0.052830,3401.845000,0.500000,2
instance5_nreq50_nveh2_gamma47,0.059982,3739.905000,0.500000,2
instance29_nreq50_nveh2_gamma45,0.052483,3598.440000,0.500000,2
instance26_nreq50_nveh2_gamma50,0.056871,3921.905000,0.500000,2
instance11_nreq50_nveh2_gamma45,0.056551,3377.440000,0.500000,2
instance18_nreq50_nveh2_gamma43,0.050856,3008.845000,0.500000,2
instance15_nreq50_nveh2_gamma48,0.058794,3663.680000,0.500000,2
instance4_nreq50_nveh2_gamma46,0.057184,3369.060000,0.500000,2
instance8_nreq50_nveh2_gamma45,0.051079,3568.450000,0.500000,2
instance17_nreq50_nveh2_gamma45,0.055872,3569.960000,0.500000,2
instance20_nreq50_nveh2_gamma44,0.050219,2850.865000,0.500000,2
instance9_nreq50_nveh2_gamma46,0.054518,3454.780000,0.500000,2
instance12_nreq50_nveh2_gamma46,0.056762,3291.865000,0.500000,2
instance1_nreq50_nveh2_gamma50,0.061172,3867.040000,0.500000,2
instance21_nreq50_nveh2_gamma44,0.050677,3390.720000,0.500000,2
instance19_nreq50_nveh2_gamma43,0.053312,3247.970000,0.500000,2
instance30_nreq50_nveh2_gamma42,0.054447,3079.960000,0.500000,2
instance23_nreq50_nveh2_gamma42,0.056161,2972.655000,0.500000,2
instance25_nreq50_nveh2_gamma45,0.059497,3360.905000,0.500000,2
instance27_nreq50_nveh2_gamma41,0.048337,2658.790000,0.500000,2
instance14_nreq50_nveh2_gamma45,0.053548,3348.430000,0.500000,2
instance28_nreq50_nveh2_gamma44,0.054920,3547.240000,0.500000,2
instance13_nreq50_nveh2_gamma47,0.062651,3726.165000,0.500000,2
instance7_nreq50_nveh2_gamma41,0.051490,3067.595000,0.500000,2
instance10_nreq50_nveh2_gamma48,0.057666,3565.430000,0.500000,2
instance24_nreq50_nveh2_gamma45,0.052978,3380.810000,0.500000,2
instance22_nreq50_nveh2_gamma43,0.054521,3268.620000,0.500000,2
instance16_nreq50_nveh2_gamma43,0.050730,3290.040000,0.500000,2
instance3_nreq50_nveh2_gamma49,0.056251,3181.310000,0.500000,2
